file_path,text,emotion,speaker_id,raw_emotion,original_folder,original_file,dataset
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_Pleasant_surprise\OAF_fit_ps.wav,fit,surprise,oaf,pleasant_surprise,OAF_Pleasant_surprise,OAF_fit_ps.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_wag_angry.wav,wag,anger,oaf,angry,OAF_angry,OAF_wag_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_Sad\OAF_chief_sad.wav,chief,sadness,oaf,sad,OAF_Sad,OAF_chief_sad.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_jar_angry.wav,jar,anger,oaf,angry,OAF_angry,OAF_jar_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_disgust\OAF_check_disgust.wav,check,disgust,oaf,disgust,OAF_disgust,OAF_check_disgust.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_Fear\OAF_love_fear.wav,love,fear,oaf,fear,OAF_Fear,OAF_love_fear.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_Fear\OAF_dime_fear.wav,dime,fear,oaf,fear,OAF_Fear,OAF_dime_fear.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_disgust\OAF_fat_disgust.wav,fat,disgust,oaf,disgust,OAF_disgust,OAF_fat_disgust.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_disgust\OAF_chalk_disgust.wav,chalk,disgust,oaf,disgust,OAF_disgust,OAF_chalk_disgust.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_angry\OAF_gin_angry.wav,gin,anger,oaf,angry,OAF_angry,OAF_gin_angry.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_happy\OAF_hush_happy.wav,hush,happiness,oaf,happy,OAF_happy,OAF_hush_happy.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_neutral\OAF_puff_neutral.wav,puff,neutral,oaf,neutral,OAF_neutral,OAF_puff_neutral.wav,TESS
D:\Savio Shaju\Multimodal Emotion Recognition\dataset\OAF_happy\OAF_chair_happy.wav,chair,happiness,oaf,happy,OAF_happy,OAF_chair_happy.wav,TESS
